,umap_n_neighbors,umap_min_dist,umap_n_components,hdbscan_min_cluster_size,hdbscan_min_samples,cluster_selection_epsilon,silhouette_score
234,50,0.06,14,20,18,0.05802048376759347,0.7021797895431519
235,57,0.09,14,15,10,0.060209253501172,0.6446583867073059
236,61,0.07,13,20,18,0.04959452476284514,0.6931461691856384
237,49,0.08,15,18,15,0.06465048106343643,0.698430061340332
238,50,0.09,16,18,15,0.06550541679575293,0.4375162422657013
239,52,0.08,17,13,2,0.08735014275279723,0.49738067388534546
240,56,0.07,14,16,14,0.11254429297558437,0.45192137360572815
241,49,0.06,14,21,18,0.0699699269128709,0.44643470644950867
242,46,0.08,15,18,16,0.05354771525706975,0.4582380950450897
243,45,0.08,13,21,21,0.036125555431298646,0.4657611548900604
244,52,0.06,15,20,14,0.08704964781315887,0.6583212018013
245,39,0.04,16,16,12,0.0669903367249009,0.6784295439720154
246,49,0.05,14,18,14,0.04136234469409502,0.6990349888801575
247,62,0.05,14,14,12,0.021760588610730245,0.6833362579345703
248,50,0.04,17,17,15,0.09169278127739844,0.45799684524536133
249,44,0.07,14,18,16,0.03935716448497448,0.4577055275440216
250,54,0.06,12,20,18,0.07274887803102126,0.6888116598129272
251,47,0.06,13,19,14,0.056444308576004486,0.4447379410266876
252,49,0.05,14,18,12,0.04484855350751511,0.7014222741127014
253,49,0.04,14,17,10,0.04083643208328544,0.6968408226966858
254,49,0.03,15,16,10,0.014488576555876046,0.677693247795105
255,52,0.05,14,17,7,0.041837024382906596,0.656671941280365
256,51,0.04,15,8,7,0.027562119736441223,0.639866828918457
257,44,0.05,16,18,9,0.054983299199900526,0.6712323427200317
258,49,0.02,14,13,11,0.005961673017693014,0.7099053263664246
259,49,0.02,14,11,10,0.002343324891556293,0.67524653673172
260,59,0.02,15,13,11,0.018011428475098606,0.5678378343582153
261,54,0.01,14,15,11,0.008065669363239193,0.5821064114570618
262,50,0.04,15,17,12,0.03287274759218556,0.5759378671646118
263,45,0.03,14,12,11,0.042983849879369,0.6805626153945923
264,53,0.05,13,14,12,0.08037820583222335,0.6874213218688965
265,48,0.0,14,17,14,0.06174680094630855,0.5933261513710022
266,46,0.01,15,21,17,0.05058531390217247,0.5735453367233276
267,51,0.02,12,20,9,0.030218726999562583,0.5702032446861267
268,42,0.04,13,15,13,0.09412388506768583,0.6893492341041565
269,49,0.05,15,16,14,0.008412979652889079,0.6975722312927246
270,56,0.05,16,16,15,0.0066571467297502,0.4544759690761566
271,49,0.05,15,18,14,0.021076413630478893,0.7024387717247009
272,53,0.04,15,13,12,0.019128998369120034,0.6877237558364868
273,49,0.05,15,18,16,0.0073670993335946,0.7105347514152527
274,51,0.05,16,18,16,0.008676534456273078,0.5796379446983337
275,48,0.05,15,16,15,0.022176326579653287,0.7122868299484253
276,48,0.09,16,18,17,0.019597928507162465,0.44917312264442444
277,45,0.03,15,19,16,0.025049059495951438,0.5748502612113953
278,46,0.05,15,20,15,0.0008053376226607647,0.6863014101982117
279,48,0.07,17,14,13,0.18762668197430343,0.6773381233215332
280,52,0.05,19,19,18,0.031954737019531845,0.4637366831302643
281,50,0.05,15,16,14,0.010208050514323993,0.6691006422042847
282,49,0.06,15,16,15,0.012579919634173122,0.6998674869537354
283,47,0.06,14,17,15,0.013962626457352885,0.44512537121772766
284,50,0.06,16,15,14,0.022854002540426917,0.6770287156105042
285,43,0.1,14,18,16,0.036671167072834236,0.4527949392795563
286,55,0.08,15,17,15,0.003382496657016648,0.4566420912742615
287,53,0.06,14,15,14,0.014917671467743546,0.7033658623695374
288,53,0.06,14,12,11,0.015034902884873427,0.6818745732307434
289,64,0.07,14,14,13,0.02799934937436023,0.686805784702301
290,51,0.06,13,13,4,0.01873140325833412,0.6130946278572083
291,49,0.05,15,16,15,0.023102444233853422,0.7004998326301575
292,47,0.05,15,16,14,0.023897023391695006,0.7055822610855103
293,47,0.06,15,15,14,0.024624304326841987,0.7007090449333191
294,46,0.05,16,15,14,0.02188803986806759,0.6821718811988831
295,47,0.04,15,15,14,0.15812540671647682,0.5858616232872009
296,48,0.06,16,14,13,0.025310500486295313,0.6806167364120483
297,35,0.06,15,11,1,0.004955970395011925,0.4294034540653229
298,44,0.05,14,16,15,0.03260413897088342,0.5774170756340027
299,45,0.07,16,22,17,0.01664709913871447,0.6846657395362854
